source,target,weight,phase,type,sync_component
18_1993,2_1993,1.0,1993,sync,-1
25_1993,8_1993,1.0,1993,sync,-1
23_1993,8_1993,1.0,1993,sync,-1
23_1993,25_1993,1.0,1993,sync,-1
23_1996,8_1996,1.0,1996,sync,-1
14_1996,18_1996,1.0,1996,sync,-1
17_1996,28_1996,1.0,1996,sync,-1
21_1996,22_1996,1.0,1996,sync,-1
33_1996,47_1996,1.0,1996,sync,-1
0_1996,48_1996,1.0,1996,sync,-1
21_1999,2_1999,1.0,1999,sync,-1
22_1999,2_1999,1.0,1999,sync,-1
2_1999,38_1999,1.0,1999,sync,-1
28_1999,3_1999,1.0,1999,sync,-1
24_1999,4_1999,1.0,1999,sync,-1
17_1999,28_1999,1.0,1999,sync,-1
0_1999,21_1999,1.0,1999,sync,-1
21_1999,48_1999,1.0,1999,sync,-1
22_1999,48_1999,1.0,1999,sync,-1
21_1999,22_1999,1.0,1999,sync,-1
0_1999,22_1999,1.0,1999,sync,-1
21_1999,26_1999,1.0,1999,sync,-1
23_1999,33_1999,1.0,1999,sync,-1
23_1999,40_1999,1.0,1999,sync,-1
47_1999,4_1999,1.0,1999,sync,-1
0_1999,48_1999,1.0,1999,sync,-1
0_2002,2_2002,1.0,2002,sync,-1
28_2002,3_2002,1.0,2002,sync,-1
24_2002,3_2002,1.0,2002,sync,-1
38_2002,8_2002,1.0,2002,sync,-1
19_2002,38_2002,1.0,2002,sync,-1
21_2002,22_2002,1.0,2002,sync,-1
22_2002,26_2002,1.0,2002,sync,-1
30_2002,8_2002,1.0,2002,sync,-1
31_2002,4_2002,1.0,2002,sync,-1
23_2002,33_2002,1.0,2002,sync,-1
2_2002,38_2002,1.0,2002,sync,-1
23_2002,40_2002,1.0,2002,sync,-1
42_2002,44_2002,1.0,2002,sync,-1
24_2002,43_2002,1.0,2002,sync,-1
24_2002,48_2002,1.0,2002,sync,-1
22_2002,48_2002,1.0,2002,sync,-1
21_2002,48_2002,1.0,2002,sync,-1
1_2005,40_2005,1.0,2005,sync,-1
35_2005,3_2005,1.0,2005,sync,-1
11_2005,5_2005,1.0,2005,sync,-1
38_2005,7_2005,1.0,2005,sync,-1
22_2005,26_2005,1.0,2005,sync,-1
22_2005,48_2005,1.0,2005,sync,-1
25_2005,26_2005,1.0,2005,sync,-1
28_2005,35_2005,1.0,2005,sync,-1
28_2005,3_2005,1.0,2005,sync,-1
31_2005,4_2005,1.0,2005,sync,-1
23_2005,33_2005,1.0,2005,sync,-1
39_2005,40_2005,1.0,2005,sync,-1
24_2005,43_2005,1.0,2005,sync,-1
42_2005,44_2005,1.0,2005,sync,-1
37_2005,46_2005,1.0,2005,sync,-1
20_2005,46_2005,1.0,2005,sync,-1
3_2005,47_2005,1.0,2005,sync,-1
1_2008,30_2008,1.0,2008,sync,-1
1_2008,40_2008,1.0,2008,sync,-1
10_2008,1_2008,1.0,2008,sync,-1
43_2008,4_2008,1.0,2008,sync,-1
11_2008,5_2008,1.0,2008,sync,-1
13_2008,8_2008,1.0,2008,sync,-1
29_2008,9_2008,1.0,2008,sync,-1
15_2008,44_2008,1.0,2008,sync,-1
16_2008,44_2008,1.0,2008,sync,-1
17_2008,8_2008,1.0,2008,sync,-1
15_2008,17_2008,1.0,2008,sync,-1
22_2008,48_2008,1.0,2008,sync,-1
22_2008,26_2008,1.0,2008,sync,-1
21_2008,22_2008,1.0,2008,sync,-1
14_2008,24_2008,1.0,2008,sync,-1
12_2008,27_2008,1.0,2008,sync,-1
0_2008,28_2008,1.0,2008,sync,-1
29_2008,34_2008,1.0,2008,sync,-1
29_2008,45_2008,1.0,2008,sync,-1
12_2008,29_2008,1.0,2008,sync,-1
30_2008,38_2008,1.0,2008,sync,-1
30_2008,40_2008,1.0,2008,sync,-1
30_2008,7_2008,1.0,2008,sync,-1
31_2008,4_2008,1.0,2008,sync,-1
32_2008,39_2008,1.0,2008,sync,-1
32_2008,40_2008,1.0,2008,sync,-1
1_2008,32_2008,1.0,2008,sync,-1
12_2008,34_2008,1.0,2008,sync,-1
27_2008,34_2008,1.0,2008,sync,-1
12_2008,37_2008,1.0,2008,sync,-1
38_2008,7_2008,1.0,2008,sync,-1
39_2008,40_2008,1.0,2008,sync,-1
1_2008,39_2008,1.0,2008,sync,-1
10_2008,40_2008,1.0,2008,sync,-1
42_2008,44_2008,1.0,2008,sync,-1
43_2008,8_2008,1.0,2008,sync,-1
12_2008,45_2008,1.0,2008,sync,-1
34_2008,45_2008,1.0,2008,sync,-1
3_2008,47_2008,1.0,2008,sync,-1
31_2008,47_2008,1.0,2008,sync,-1
21_2008,48_2008,1.0,2008,sync,-1
