id,y,period_str,period_int
5_2020-05,4.808571,2020-05,23
0_2020-05,8.023952,2020-05,23
1_2019-05,6.779536,2019-05,21
3_2020-05,6.88034,2020-05,23
9_2018-05,1.7254905,2018-05,19
2_2020-05,3.039852,2020-05,23
3_2019-05,3.9481423,2019-05,21
17_2019-05,2.4171429,2019-05,21
2_2016-05,0.13428941,2016-05,15
3_2018-05,4.999915,2018-05,19
22_2019-05,6.9158726,2019-05,21
1_2018-05,5.3404236,2018-05,19
6_2011-05,-5.445599,2011-05,5
11_2018-05,2.5787835,2018-05,19
3_2017-05,1.0158348,2017-05,17
15_2019-05,4.7023854,2019-05,21
2_2017-05,2.8315928,2017-05,17
4_2019-05,6.5276628,2019-05,21
1_2011-05,-7.490442,2011-05,5
1_2012-05,-4.8426843,2012-05,7
24_2019-05,6.482995,2019-05,21
1_2016-05,0.40158254,2016-05,15
1_2015-05,-1.5718795,2015-05,13
6_2017-05,-0.23619698,2017-05,17
8_2012-05,-4.7823353,2012-05,7
0_2019-05,2.6510878,2019-05,21
2_2015-05,-2.446253,2015-05,13
5_2012-05,-8.00506,2012-05,7
10_2020-05,7.8925447,2020-05,23
2_2011-05,-5.691149,2011-05,5
4_2020-05,7.9009066,2020-05,23
0_2011-05,-7.253117,2011-05,5
1_2010-05,-6.148513,2010-05,3
4_2012-05,-7.9316406,2012-05,7
11_2016-05,0.5666726,2016-05,15
12_2018-05,4.4493227,2018-05,19
4_2017-05,3.0260582,2017-05,17
6_2010-05,-7.576831,2010-05,3
23_2017-05,3.9582214,2017-05,17
14_2020-05,5.311611,2020-05,23
5_2013-05,-7.2857347,2013-05,9
14_2018-05,4.903552,2018-05,19
10_2010-05,-5.8944645,2010-05,3
6_2014-05,-4.4173546,2014-05,11
7_2015-05,-2.6393611,2015-05,13
6_2020-05,5.80626,2020-05,23
12_2020-05,7.881157,2020-05,23
2_2014-05,-2.862182,2014-05,11
11_2013-05,-3.5153768,2013-05,9
8_2020-05,7.9300237,2020-05,23
4_2011-05,-7.323066,2011-05,5
6_2018-05,4.053809,2018-05,19
5_2016-05,-1.3801167,2016-05,15
3_2012-05,-7.889017,2012-05,7
5_2014-05,-2.957483,2014-05,11
0_2014-05,-2.47062,2014-05,11
1_2017-05,2.6429048,2017-05,17
11_2015-05,-1.9061042,2015-05,13
11_2017-05,1.5729998,2017-05,17
19_2018-05,2.3867216,2018-05,19
3_2016-05,0.16507213,2016-05,15
9_2020-05,5.625954,2020-05,23
4_2014-05,-4.585082,2014-05,11
8_2013-05,-5.783138,2013-05,9
6_2015-05,-2.6727338,2015-05,13
9_2015-05,-1.7011944,2015-05,13
7_2013-05,-4.2388415,2013-05,9
6_2012-05,-7.8202553,2012-05,7
9_2016-05,0.5481616,2016-05,15
1_2013-05,-7.3935385,2013-05,9
7_2020-05,7.200737,2020-05,23
0_2012-05,-7.7216344,2012-05,7
19_2019-05,6.5567026,2019-05,21
1_2014-05,-4.8325152,2014-05,11
8_2016-05,0.62831485,2016-05,15
12_2019-05,6.40129,2019-05,21
13_2010-05,-6.2706547,2010-05,3
19_2010-05,-6.938751,2010-05,3
5_2015-05,-2.9514465,2015-05,13
6_2019-05,7.156814,2019-05,21
16_2020-05,8.160872,2020-05,23
9_2014-05,-5.163069,2014-05,11
16_2018-05,6.1191835,2018-05,19
3_2014-05,-4.888192,2014-05,11
7_2010-05,-6.0933886,2010-05,3
21_2019-05,6.2281027,2019-05,21
11_2020-05,6.419363,2020-05,23
0_2017-05,3.3637345,2017-05,17
3_2011-05,-7.4819646,2011-05,5
8_2015-05,-2.0573955,2015-05,13
8_2014-05,-4.39347,2014-05,11
8_2010-05,-7.4625688,2010-05,3
7_2014-05,-3.6383984,2014-05,11
2_2010-05,-6.7019076,2010-05,3
58_2018-05,6.2061863,2018-05,19
7_2011-05,-6.9197426,2011-05,5
14_2015-05,-2.5366468,2015-05,13
18_2018-05,3.1578398,2018-05,19
0_2015-05,-2.8815486,2015-05,13
11_2014-05,-4.5710874,2014-05,11
40_2015-05,-3.3198032,2015-05,13
3_2009-05,-7.1110806,2009-05,1
9_2017-05,3.6870596,2017-05,17
8_2011-05,-7.959634,2011-05,5
9_2013-05,-6.897434,2013-05,9
17_2015-05,-2.0032794,2015-05,13
10_2013-05,-4.09928,2013-05,9
35_2015-05,-5.0764384,2015-05,13
22_2020-05,1.6197507,2020-05,23
51_2020-05,-5.024884,2020-05,23
130_2020-05,-5.978187,2020-05,23
4_2018-05,5.3745766,2018-05,19
4_2016-05,0.6279583,2016-05,15
9_2011-05,-6.683985,2011-05,5
8_2018-05,4.120661,2018-05,19
