id,y,period_str,period_int
2642_2019-05,8.15305,2019-05,21
859_2019-05,-11.612667,2019-05,21
1198_2018-05,8.206307,2018-05,19
1788_2018-05,-11.573048,2018-05,19
3008_2019-05,8.757443,2019-05,21
284_2018-05,8.793205,2018-05,19
1165_2018-05,0.23013556,2018-05,19
307_2020-05,8.238734,2020-05,23
1314_2019-05,9.408627,2019-05,21
1617_2019-05,0.34999588,2019-05,21
492_2019-05,13.466678,2019-05,21
635_2019-05,11.822019,2019-05,21
15_2014-05,-2.37774,2014-05,11
1562_2018-05,9.626745,2018-05,19
625_2012-05,-4.964891,2012-05,7
1388_2019-05,11.655762,2019-05,21
408_2011-05,-5.4398723,2011-05,5
428_2014-05,-9.207135,2014-05,11
2359_2020-05,11.325929,2020-05,23
2035_2013-05,-4.22787,2013-05,9
1165_2016-05,-1.5590897,2016-05,15
2696_2015-05,-2.8480904,2015-05,13
920_2014-05,-3.8873851,2014-05,11
782_2021-05,8.312755,2021-05,24
2258_2020-05,9.011447,2020-05,23
1301_2012-05,-4.332657,2012-05,7
0_2010-05,-5.4580464,2010-05,3
2226_2013-05,-7.0599933,2013-05,9
2297_2014-05,-9.076348,2014-05,11
90_2011-05,-8.103993,2011-05,5
960_2014-05,-2.436094,2014-05,11
1771_2014-05,-3.3262222,2014-05,11
95_2012-05,-7.4366665,2012-05,7
1053_2013-05,-8.579968,2013-05,9
21_2013-05,-6.5652003,2013-05,9
2219_2018-05,11.790072,2018-05,19
384_2012-05,-7.641731,2012-05,7
8_2012-05,-8.007205,2012-05,7
604_2015-05,-3.2332456,2015-05,13
881_2017-05,-0.70556927,2017-05,17
1040_2013-05,-8.63058,2013-05,9
706_2015-05,-9.376372,2015-05,13
381_2011-05,-4.9518147,2011-05,5
1565_2015-05,-1.6436701,2015-05,13
3696_2018-05,11.327398,2018-05,19
1021_2015-05,-1.4248418,2015-05,13
1669_2015-05,-2.7850964,2015-05,13
2052_2013-05,-3.7374785,2013-05,9
1582_2015-05,-9.505664,2015-05,13
3152_2019-05,12.084195,2019-05,21
150_2011-05,-7.8575106,2011-05,5
683_2020-05,-11.752977,2020-05,23
912_2020-05,0.4839836,2020-05,23
611_2018-05,13.487109,2018-05,19
1268_2018-05,12.111338,2018-05,19
1603_2016-05,-10.247107,2016-05,15
54_2017-05,-1.6345859,2017-05,17
81_2015-05,-2.4071813,2015-05,13
969_2011-05,-6.577767,2011-05,5
2329_2017-05,-0.18381314,2017-05,17
335_2018-05,13.387555,2018-05,19
1401_2020-05,13.209151,2020-05,23
2538_2019-05,8.892904,2019-05,21
1247_2017-05,-11.253369,2017-05,17
714_2016-05,-0.25699088,2016-05,15
995_2016-05,-1.265028,2016-05,15
113_2016-05,-1.3585914,2016-05,15
332_2016-05,-1.8231974,2016-05,15
299_2014-05,-7.0843077,2014-05,11
39_2021-05,13.293804,2021-05,24
44_2017-05,-11.025745,2017-05,17
1151_2016-05,-1.3439293,2016-05,15
2269_2018-05,11.811525,2018-05,19
1781_2015-05,-0.16565897,2015-05,13
751_2021-05,9.155156,2021-05,24
54_2016-05,-2.1530395,2016-05,15
753_2014-05,-6.357173,2014-05,11
80_2014-05,-6.598136,2014-05,11
729_2017-05,-1.642336,2017-05,17
3917_2015-05,-1.989262,2015-05,13
706_2017-05,-1.4627209,2017-05,17
1892_2018-05,11.135209,2018-05,19
714_2021-05,8.576748,2021-05,24
3811_2016-05,-0.8268696,2016-05,15
4138_2017-05,-0.0587886,2017-05,17
1061_2017-05,-0.06111629,2017-05,17
975_2018-05,8.90633,2018-05,19
2442_2019-05,10.818421,2019-05,21
201_2018-05,8.237079,2018-05,19
321_2016-05,-1.4281579,2016-05,15
2228_2017-05,-0.15140247,2017-05,17
441_2016-05,-0.61809504,2016-05,15
1558_2018-05,10.733937,2018-05,19
0_2009-05,-5.510614,2009-05,1
1240_2016-05,0.029775918,2016-05,15
64_2017-05,-1.521352,2017-05,17
1585_2021-05,9.690819,2021-05,24
1262_2018-05,8.770863,2018-05,19
821_2018-05,-11.285711,2018-05,19
32_2017-05,-1.1787828,2017-05,17
7_2012-05,-4.3087554,2012-05,7
52_2013-05,-3.4674616,2013-05,9
243_2015-05,0.24129137,2015-05,13
222_2017-05,0.0037653511,2017-05,17
332_2021-05,8.954593,2021-05,24
339_2019-05,11.351889,2019-05,21
1618_2017-05,-1.2325077,2017-05,17
650_2015-05,0.064615235,2015-05,13
969_2021-05,11.909751,2021-05,24
30_2021-05,11.093101,2021-05,24
1317_2017-05,-1.1946325,2017-05,17
1275_2015-05,-0.24377394,2015-05,13
2068_2017-05,0.10081443,2017-05,17
97_2017-05,-1.4955726,2017-05,17
2794_2014-05,-6.046277,2014-05,11
2994_2014-05,-6.2416935,2014-05,11
2328_2014-05,-9.165078,2014-05,11
2341_2015-05,-1.6413045,2015-05,13
