id,x,y,period_str,period_int
5_2020-05,-4.90601,-2.9745424,2020-05,23
0_2020-05,-8.070628,-1.8855574,2020-05,23
1_2019-05,-6.742322,-0.25075847,2019-05,21
3_2020-05,-6.9667244,-2.7029495,2020-05,23
9_2018-05,-1.8218108,-3.0299807,2018-05,19
2_2020-05,-3.1664832,-3.598899,2020-05,23
3_2019-05,-3.983884,-1.7709293,2019-05,21
17_2019-05,-2.535159,-3.4434745,2019-05,21
2_2016-05,-0.0626982,0.26477563,2016-05,15
3_2018-05,-4.836636,2.2081628,2018-05,19
22_2019-05,-6.8748436,-0.17158277,2019-05,21
1_2018-05,-5.1861343,2.0381813,2018-05,19
6_2011-05,5.3296714,-3.5998232,2011-05,5
11_2018-05,-2.5384254,-0.2940231,2018-05,19
3_2017-05,-0.9439819,0.29215208,2017-05,17
15_2019-05,-4.6936145,-0.86792177,2019-05,21
2_2017-05,-2.5927095,3.6551342,2017-05,17
4_2019-05,-6.5388703,-1.218763,2019-05,21
1_2011-05,7.3918386,-3.307189,2011-05,5
1_2012-05,4.8049235,-2.0322287,2012-05,7
24_2019-05,-6.4898877,-1.1342078,2019-05,21
1_2016-05,-0.10580094,4.7240176,2016-05,15
1_2015-05,1.628006,-0.085287884,2015-05,13
6_2017-05,0.16997138,-2.4816465,2017-05,17
8_2012-05,4.6887836,-3.1387491,2012-05,7
0_2019-05,-2.6173024,-0.4227392,2019-05,21
2_2015-05,2.7309153,4.4315243,2015-05,13
5_2012-05,8.013406,-1.1961125,2012-05,7
10_2020-05,-8.014516,-3.3842285,2020-05,23
2_2011-05,5.5706534,-3.696735,2011-05,5
4_2020-05,-7.9745893,-2.4249873,2020-05,23
0_2011-05,7.1377463,-3.6342628,2011-05,5
1_2010-05,5.966349,-4.932983,2010-05,3
4_2012-05,7.949889,-0.99757373,2012-05,7
11_2016-05,-0.27391273,4.668158,2016-05,15
12_2018-05,-4.2537503,2.8356721,2018-05,19
4_2017-05,-2.8074653,3.2570496,2017-05,17
6_2010-05,7.3794665,-5.270816,2010-05,3
23_2017-05,-3.7286794,3.4979563,2017-05,17
14_2020-05,-5.4154463,-3.0889943,2020-05,23
5_2013-05,7.4178443,1.280013,2013-05,9
14_2018-05,-4.766093,1.6929404,2018-05,19
10_2010-05,5.6886635,-5.39605,2010-05,3
6_2014-05,4.657305,3.4939234,2014-05,11
7_2015-05,2.9033434,4.0159516,2015-05,13
6_2020-05,-5.938013,-3.631012,2020-05,23
12_2020-05,-7.9299746,-1.9316586,2020-05,23
2_2014-05,2.8927777,-0.6248085,2014-05,11
11_2013-05,3.4543378,-2.461141,2013-05,9
8_2020-05,-7.9853034,-2.0587933,2020-05,23
4_2011-05,7.2183566,-3.42426,2011-05,5
6_2018-05,-3.9534302,0.9351402,2018-05,19
5_2016-05,1.3242737,-2.3042257,2016-05,15
3_2012-05,7.927944,-0.585824,2012-05,7
5_2014-05,3.004169,-0.30764902,2014-05,11
0_2014-05,2.4137611,-2.351843,2014-05,11
1_2017-05,-2.394439,3.8406966,2017-05,17
11_2015-05,1.9986585,0.62977475,2015-05,13
11_2017-05,-1.4981991,0.3647182,2017-05,17
19_2018-05,-2.3235488,0.15425743,2018-05,19
3_2016-05,-0.07709694,0.5909426,2016-05,15
9_2020-05,-5.7476583,-3.4359617,2020-05,23
4_2014-05,4.8209934,3.409479,2014-05,11
8_2013-05,5.9245124,1.5018026,2013-05,9
6_2015-05,2.9005444,3.296727,2015-05,13
9_2015-05,1.6490929,-2.237995,2015-05,13
7_2013-05,4.228071,-1.4809991,2013-05,9
6_2012-05,7.8438315,-0.88896525,2012-05,7
9_2016-05,-0.25182912,4.738646,2016-05,15
1_2013-05,7.5124135,1.014436,2013-05,9
7_2020-05,-7.2857943,-2.6685355,2020-05,23
0_2012-05,7.7221055,-1.3453887,2012-05,7
19_2019-05,-6.5383444,-0.63084584,2019-05,21
1_2014-05,5.053244,3.1017356,2014-05,11
8_2016-05,-0.33276922,4.7250357,2016-05,15
12_2019-05,-6.284365,1.3228092,2019-05,21
13_2010-05,6.12403,-4.23024,2010-05,3
19_2010-05,6.74463,-5.1903543,2010-05,3
5_2015-05,3.1830344,3.364735,2015-05,13
6_2019-05,-7.1402116,-0.6506356,2019-05,21
16_2020-05,-8.232886,-2.3853002,2020-05,23
9_2014-05,5.402702,3.468865,2014-05,11
16_2018-05,-5.9986525,1.3873408,2018-05,19
3_2014-05,5.1168947,3.2587104,2014-05,11
7_2010-05,5.950011,-4.1612935,2010-05,3
21_2019-05,-6.237377,-1.1879287,2019-05,21
11_2020-05,-6.4915977,-2.433518,2020-05,23
0_2017-05,-3.1977468,2.220787,2017-05,17
3_2011-05,7.4069443,-2.8386383,2011-05,5
8_2015-05,2.3330836,4.2630835,2015-05,13
8_2014-05,4.578214,2.3981233,2014-05,11
8_2010-05,7.271793,-5.137094,2010-05,3
7_2014-05,3.8521893,2.9939804,2014-05,11
2_2010-05,6.5038767,-5.262057,2010-05,3
58_2018-05,-6.236659,-1.6094798,2018-05,19
7_2011-05,6.792635,-3.8589694,2011-05,5
14_2015-05,2.81195,4.2433753,2015-05,13
18_2018-05,-3.0758617,0.5471349,2018-05,19
0_2015-05,3.156854,4.234739,2015-05,13
11_2014-05,4.7818427,2.9102426,2014-05,11
40_2015-05,3.5965176,4.251689,2015-05,13
3_2009-05,6.907651,-5.379573,2009-05,1
9_2017-05,-3.4876707,2.8922806,2017-05,17
8_2011-05,7.8478317,-3.5811346,2011-05,5
9_2013-05,7.0286336,1.271687,2013-05,9
17_2015-05,2.2357533,3.4061882,2015-05,13
10_2013-05,4.1314583,-0.6245129,2013-05,9
35_2015-05,4.9269357,-4.2573605,2015-05,13
22_2020-05,-1.545761,0.3497865,2020-05,23
51_2020-05,4.959103,-2.5933137,2020-05,23
130_2020-05,5.9092817,-2.6793478,2020-05,23
4_2018-05,-5.2192206,2.060232,2018-05,19
4_2016-05,-0.33377358,4.6979976,2016-05,15
9_2011-05,6.5769944,-3.4535022,2011-05,5
8_2018-05,-4.06563,0.036176663,2018-05,19
2_2013-05,6.882317,1.669535,2013-05,9
17_2018-05,-4.8137207,1.2554967,2018-05,19
1_2020-05,-7.774474,-3.2835722,2020-05,23
25_2017-05,0.956504,3.385887,2017-05,17
3_2013-05,6.598468,1.546348,2013-05,9
15_2010-05,7.3817635,-4.408421,2010-05,3
21_2017-05,-3.2224972,2.5330203,2017-05,17
15_2016-05,1.6877475,4.0165977,2016-05,15
10_2016-05,-0.36608252,4.6905546,2016-05,15
14_2017-05,-3.3853705,2.9698138,2017-05,17
10_2019-05,-7.0108256,-1.1288012,2019-05,21
18_2017-05,-2.5825672,3.4893584,2017-05,17
12_2015-05,3.4401553,4.430074,2015-05,13
7_2016-05,-0.6499313,4.685839,2016-05,15
4_2010-05,7.5618076,-5.03662,2010-05,3
21_2018-05,-5.012047,-0.036569133,2018-05,19
15_2017-05,-3.8183634,3.3291893,2017-05,17
1_2009-05,5.786524,-5.4334803,2009-05,1
6_2013-05,6.916705,1.6350703,2013-05,9
8_2017-05,-2.990682,3.259905,2017-05,17
25_2019-05,-6.734487,-0.06394294,2019-05,21
15_2018-05,-5.0060763,0.60517013,2018-05,19
10_2015-05,2.6464138,3.7908306,2015-05,13
13_2015-05,3.4245987,3.2670503,2015-05,13
25_2020-05,-6.947034,-2.2366238,2020-05,23
10_2014-05,4.268476,3.9141655,2014-05,11
2_2021-05,-5.1138067,-3.3460276,2021-05,24
2_2012-05,7.955978,-1.0870135,2012-05,7
13_2016-05,0.73005885,3.8871107,2016-05,15
22_2010-05,7.1309333,-4.426751,2010-05,3
4_2013-05,7.251298,1.2602539,2013-05,9
7_2012-05,5.1457624,-1.6466334,2012-05,7
5_2018-05,-3.4781363,0.86905044,2018-05,19
7_2018-05,-4.3050494,1.185098,2018-05,19
17_2020-05,-7.822759,-1.7123685,2020-05,23
6_2016-05,-0.1755835,4.658351,2016-05,15
19_2017-05,-3.720903,2.3051746,2017-05,17
0_2021-05,-7.702145,-2.537259,2021-05,24
7_2017-05,-3.743353,2.8599358,2017-05,17
17_2016-05,2.3116984,3.6591885,2016-05,15
7_2021-05,-6.610911,-3.0048375,2021-05,24
11_2019-05,-6.7473297,-0.21363151,2019-05,21
16_2019-05,-6.107984,-0.7055743,2019-05,21
7_2019-05,-3.108439,-3.3492715,2019-05,21
5_2021-05,-5.84772,-3.2384298,2021-05,24
16_2015-05,2.809502,3.7039647,2015-05,13
18_2015-05,2.5049045,4.157945,2015-05,13
20_2017-05,-4.1852236,2.901752,2017-05,17
11_2021-05,-7.656876,-2.4415183,2021-05,24
23_2021-05,-7.617792,-3.281973,2021-05,24
12_2016-05,-0.6773564,4.415004,2016-05,15
9_2021-05,-5.5413027,-3.2192233,2021-05,24
15_2013-05,6.4880548,1.1322036,2013-05,9
10_2018-05,-4.485054,1.9966574,2018-05,19
12_2013-05,5.599935,0.9504796,2013-05,9
10_2011-05,6.313785,-3.5094426,2011-05,5
6_2021-05,-8.185734,-1.7896439,2021-05,24
25_2010-05,5.728484,-4.3407845,2010-05,3
14_2021-05,-7.9387803,-3.008642,2021-05,24
4_2021-05,-7.661024,-2.3896155,2021-05,24
16_2016-05,-0.58408564,4.5231996,2016-05,15
17_2017-05,-1.9651457,4.134778,2017-05,17
26_2020-05,-7.768005,-1.628384,2020-05,23
28_2021-05,-7.111254,-2.9763799,2021-05,24
26_2019-05,-6.7572384,-0.23555146,2019-05,21
12_2017-05,-2.9462488,2.6881456,2017-05,17
20_2018-05,-4.4155664,1.3621972,2018-05,19
27_2018-05,-4.680503,1.5621071,2018-05,19
1_2021-05,-7.153465,-2.9562223,2021-05,24
18_2021-05,-6.691078,-3.388017,2021-05,24
3_2021-05,-3.1529086,-3.6115925,2021-05,24
34_2020-05,-7.6561985,-1.5064913,2020-05,23
17_2021-05,-6.3477316,-3.4206011,2021-05,24
20_2021-05,-7.5856194,-2.7069845,2021-05,24
15_2021-05,-3.603918,-3.489134,2021-05,24
27_2019-05,-5.964917,-0.92460686,2019-05,21
29_2021-05,-3.5957973,-3.472046,2021-05,24
109_2021-05,-5.869378,-3.6765409,2021-05,24
47_2021-05,-7.1386576,-2.3777528,2021-05,24
26_2017-05,-3.0238097,2.8463223,2017-05,17
13_2021-05,-5.3945,-3.2940738,2021-05,24
16_2011-05,6.358355,-3.1655798,2011-05,5
42_2021-05,-7.2433457,-2.9793415,2021-05,24
14_2014-05,4.1603384,2.2268515,2014-05,11
13_2013-05,5.701141,0.98752415,2013-05,9
29_2019-05,-5.769095,-0.8505409,2019-05,21
49_2021-05,-5.9683776,-3.221896,2021-05,24
29_2017-05,-2.491268,3.2444205,2017-05,17
28_2013-05,5.056808,1.716728,2013-05,9
26_2021-05,-6.8020153,-2.871435,2021-05,24
28_2012-05,6.271088,0.5024275,2012-05,7
18_2014-05,4.4241986,2.08995,2014-05,11
82_2018-05,-3.5481195,1.8293207,2018-05,19
12_2021-05,-4.9561152,-3.2231193,2021-05,24
24_2020-05,-3.009504,-3.5444736,2020-05,23
43_2021-05,-3.14917,-3.5284693,2021-05,24
24_2018-05,-5.297495,-0.33519357,2018-05,19
15_2014-05,3.9975948,1.7207175,2014-05,11
95_2021-05,-5.842968,-2.0094376,2021-05,24
22_2016-05,0.7141047,-1.9715358,2016-05,15
