source,target,weight,period_str,period_int,type,sync_component
1,2,8,2010-05,3,sync,-1
22,2,7,2010-05,3,sync,-1
4,2,6,2010-05,3,sync,-1
19,2,5,2010-05,3,sync,-1
10,2,1,2010-05,3,sync,-1
4,6,6,2010-05,3,sync,-1
1,6,5,2010-05,3,sync,-1
2,6,4,2010-05,3,sync,-1
15,6,3,2010-05,3,sync,-1
19,6,2,2010-05,3,sync,-1
4,1,7,2010-05,3,sync,-1
19,1,4,2010-05,3,sync,-1
13,1,3,2010-05,3,sync,-1
1,22,10,2010-05,3,sync,-1
4,22,8,2010-05,3,sync,-1
6,22,4,2010-05,3,sync,-1
13,22,3,2010-05,3,sync,-1
1,7,7,2010-05,3,sync,-1
4,7,5,2010-05,3,sync,-1
2,7,1,2010-05,3,sync,-1
1,8,11,2010-05,3,sync,-1
22,8,8,2010-05,3,sync,-1
2,8,8,2010-05,3,sync,-1
4,8,6,2010-05,3,sync,-1
6,8,6,2010-05,3,sync,-1
13,8,4,2010-05,3,sync,-1
1,10,2,2010-05,3,sync,-1
15,10,1,2010-05,3,sync,-1
22,19,4,2010-05,3,sync,-1
8,19,4,2010-05,3,sync,-1
4,19,2,2010-05,3,sync,-1
6,13,2,2010-05,3,sync,-1
4,13,1,2010-05,3,sync,-1
7,13,1,2010-05,3,sync,-1
8,15,2,2010-05,3,sync,-1
0,1,106,2011-05,5,sync,-1
1,2,112,2011-05,5,sync,-1
6,2,77,2011-05,5,sync,-1
1,3,59,2011-05,5,sync,-1
2,3,36,2011-05,5,sync,-1
4,3,28,2011-05,5,sync,-1
1,4,104,2011-05,5,sync,-1
0,4,55,2011-05,5,sync,-1
2,4,54,2011-05,5,sync,-1
1,7,37,2011-05,5,sync,-1
2,7,24,2011-05,5,sync,-1
4,7,22,2011-05,5,sync,-1
6,7,17,2011-05,5,sync,-1
1,6,75,2011-05,5,sync,-1
4,6,22,2011-05,5,sync,-1
2,0,61,2011-05,5,sync,-1
7,0,27,2011-05,5,sync,-1
3,0,26,2011-05,5,sync,-1
6,0,24,2011-05,5,sync,-1
2,8,13,2011-05,5,sync,-1
3,8,5,2011-05,5,sync,-1
7,8,4,2011-05,5,sync,-1
1,9,26,2011-05,5,sync,-1
4,9,9,2011-05,5,sync,-1
3,9,8,2011-05,5,sync,-1
7,9,7,2011-05,5,sync,-1
1,10,10,2011-05,5,sync,-1
2,10,6,2011-05,5,sync,-1
6,10,5,2011-05,5,sync,-1
4,10,2,2011-05,5,sync,-1
2,16,1,2011-05,5,sync,-1
8,1,62,2012-05,7,sync,-1
0,1,49,2012-05,7,sync,-1
7,1,33,2012-05,7,sync,-1
3,2,18,2012-05,7,sync,-1
0,2,16,2012-05,7,sync,-1
1,2,11,2012-05,7,sync,-1
8,2,8,2012-05,7,sync,-1
5,3,214,2012-05,7,sync,-1
4,3,144,2012-05,7,sync,-1
0,3,82,2012-05,7,sync,-1
8,3,78,2012-05,7,sync,-1
5,4,178,2012-05,7,sync,-1
8,4,109,2012-05,7,sync,-1
1,4,75,2012-05,7,sync,-1
0,4,68,2012-05,7,sync,-1
1,5,129,2012-05,7,sync,-1
0,5,121,2012-05,7,sync,-1
8,5,118,2012-05,7,sync,-1
2,5,34,2012-05,7,sync,-1
5,6,63,2012-05,7,sync,-1
4,6,51,2012-05,7,sync,-1
3,6,43,2012-05,7,sync,-1
0,6,30,2012-05,7,sync,-1
8,6,25,2012-05,7,sync,-1
5,7,26,2012-05,7,sync,-1
0,7,18,2012-05,7,sync,-1
3,7,16,2012-05,7,sync,-1
8,7,13,2012-05,7,sync,-1
8,0,56,2012-05,7,sync,-1
5,2,183,2013-05,9,sync,-1
3,2,64,2013-05,9,sync,-1
1,2,58,2013-05,9,sync,-1
5,3,216,2013-05,9,sync,-1
1,3,70,2013-05,9,sync,-1
5,4,76,2013-05,9,sync,-1
2,4,37,2013-05,9,sync,-1
11,4,28,2013-05,9,sync,-1
