source,target,weight,phase,type,sync_component
1_1272664800,2_1272664800,11.0,1272664800,sync,-1
1_1272664800,4_1272664800,7.0,1272664800,sync,-1
1_1272664800,5_1272664800,7.0,1272664800,sync,-1
1_1272664800,6_1272664800,6.0,1272664800,sync,-1
15_1272664800,1_1272664800,14.0,1272664800,sync,-1
1_1272664800,3_1272664800,7.0,1272664800,sync,-1
2_1272664800,5_1272664800,6.0,1272664800,sync,-1
2_1272664800,4_1272664800,12.0,1272664800,sync,-1
15_1272664800,2_1272664800,16.0,1272664800,sync,-1
18_1272664800,2_1272664800,4.0,1272664800,sync,-1
13_1272664800,2_1272664800,6.0,1272664800,sync,-1
15_1272664800,3_1272664800,4.0,1272664800,sync,-1
18_1272664800,4_1272664800,6.0,1272664800,sync,-1
15_1272664800,4_1272664800,16.0,1272664800,sync,-1
13_1272664800,15_1272664800,5.0,1272664800,sync,-1
116_1304200800,1_1304200800,18.0,1304200800,sync,-1
17_1304200800,1_1304200800,37.0,1304200800,sync,-1
1_1304200800,2_1304200800,30.0,1304200800,sync,-1
15_1304200800,1_1304200800,9.0,1304200800,sync,-1
16_1304200800,1_1304200800,10.0,1304200800,sync,-1
1_1304200800,8_1304200800,28.0,1304200800,sync,-1
1_1304200800,3_1304200800,17.0,1304200800,sync,-1
2_1304200800,61_1304200800,23.0,1304200800,sync,-1
17_1304200800,2_1304200800,93.0,1304200800,sync,-1
2_1304200800,8_1304200800,63.0,1304200800,sync,-1
116_1304200800,2_1304200800,20.0,1304200800,sync,-1
13_1304200800,2_1304200800,27.0,1304200800,sync,-1
2_1304200800,3_1304200800,72.0,1304200800,sync,-1
16_1304200800,2_1304200800,19.0,1304200800,sync,-1
3_1304200800,8_1304200800,30.0,1304200800,sync,-1
17_1304200800,3_1304200800,55.0,1304200800,sync,-1
116_1304200800,3_1304200800,18.0,1304200800,sync,-1
3_1304200800,62_1304200800,20.0,1304200800,sync,-1
17_1304200800,8_1304200800,88.0,1304200800,sync,-1
116_1304200800,8_1304200800,49.0,1304200800,sync,-1
15_1304200800,8_1304200800,25.0,1304200800,sync,-1
13_1304200800,8_1304200800,27.0,1304200800,sync,-1
13_1304200800,17_1304200800,29.0,1304200800,sync,-1
116_1304200800,13_1304200800,15.0,1304200800,sync,-1
13_1304200800,62_1304200800,9.0,1304200800,sync,-1
16_1304200800,17_1304200800,30.0,1304200800,sync,-1
116_1304200800,16_1304200800,9.0,1304200800,sync,-1
17_1304200800,62_1304200800,24.0,1304200800,sync,-1
116_1304200800,17_1304200800,41.0,1304200800,sync,-1
43_1304200800,62_1304200800,7.0,1304200800,sync,-1
0_1335823200,4_1335823200,8.0,1335823200,sync,-1
1_1335823200,3_1335823200,62.0,1335823200,sync,-1
1_1335823200,2_1335823200,63.0,1335823200,sync,-1
1_1335823200,5_1335823200,159.0,1335823200,sync,-1
1_1335823200,4_1335823200,39.0,1335823200,sync,-1
10_1335823200,1_1335823200,87.0,1335823200,sync,-1
1_1335823200,8_1335823200,120.0,1335823200,sync,-1
2_1335823200,3_1335823200,55.0,1335823200,sync,-1
11_1335823200,2_1335823200,45.0,1335823200,sync,-1
2_1335823200,8_1335823200,80.0,1335823200,sync,-1
2_1335823200,5_1335823200,64.0,1335823200,sync,-1
10_1335823200,2_1335823200,62.0,1335823200,sync,-1
2_1335823200,4_1335823200,20.0,1335823200,sync,-1
10_1335823200,3_1335823200,91.0,1335823200,sync,-1
3_1335823200,5_1335823200,93.0,1335823200,sync,-1
