id,phase,size,diac_component,meta,x,y
1_t1,t1,100,0,A,3.2152767,12.141667
2_t1,t1,100,1,B,-1.2310393,-12.98881
3_t1,t1,100,2,C,12.693037,5.712049
4_t1,t1,100,3,D,-13.22533,-0.84613746
1_t2,t2,100,0,A,3.2146475,12.140896
2_t2,t2,100,1,B,-1.2304201,-12.988483
3_t2,t2,100,2,C,12.693037,5.712049
4_t2,t2,100,3,D,-13.224847,-0.8452874
1_t3,t3,100,0,A,3.2151659,12.140955
2_t3,t3,100,1,B,-1.2309695,-12.988657
3_t3,t3,100,2,C,12.693194,5.7123876
4_t3,t3,100,3,D,-13.22639,-0.843758
1_t4,t4,100,0,A,3.214293,12.14086
2_t4,t4,100,1,B,-1.2293321,-12.9902525
3_t4,t4,100,2,C,12.693778,5.712515
4_t4,t4,100,3,D,-13.225243,-0.846121
