id,phase,size,diac_component,meta,x,y
1_t1,t1,100,0,NA,-2.9487908,2.4180572
2_t1,t1,100,1,NA,3.0553222,-2.7352104
3_t1,t1,100,2,NA,1.0912182,-0.5097661
4_t1,t1,100,3,NA,-3.0054166,-0.21536002
1_t2,t2,104,0,NA,-2.883498,2.8796053
3_t2,t2,103,2,NA,1.1158372,-0.49606416
2_t2,t2,99,1,NA,3.1605582,-2.832537
4_t2,t2,94,3,NA,-3.2123752,-0.17884773
1_t3,t3,105,0,NA,-2.883499,2.8796053
3_t3,t3,105,2,NA,1.0714076,-0.5359664
4_t3,t3,94,3,NA,-3.212375,-0.17884815
2_t3,t3,96,1,NA,3.24282,-2.9107046
1_t4,t4,105,0,NA,-2.7831392,2.6741583
2_t4,t4,97,1,NA,2.7543747,-2.3597758
3_t4,t4,103,2,NA,1.0163934,-0.7900128
4_t4,t4,95,3,NA,-3.0628042,0.44833523
