source,target,weight,phase,type,diac_component
1_t1,1_t2,0.8053097345132744,t1,diac,0
2_t1,2_t2,0.8598130841121495,t1,diac,1
3_t1,3_t2,0.8125,t1,diac,2
4_t1,4_t2,0.883495145631068,t1,diac,3
1_t2,1_t3,0.8333333333333334,t2,diac,0
3_t2,3_t3,0.8407079646017699,t2,diac,2
2_t2,2_t3,0.839622641509434,t2,diac,1
4_t2,4_t3,0.8252427184466019,t2,diac,3
1_t3,1_t4,0.8260869565217391,t3,diac,0
3_t3,3_t4,0.8245614035087719,t3,diac,2
4_t3,4_t4,0.8173076923076923,t3,diac,3
2_t3,2_t4,0.8207547169811321,t3,diac,1
