id,phase,size,diac_component,meta,x,y
1_t1,t1,100,0,NA,-0.16621546,-1.0802654
2_t1,t1,100,0,NA,1.6391402,-0.11962026
3_t1,t1,100,1,NA,0.22915816,0.5595983
4_t1,t1,100,2,NA,-1.240755,0.3222411
1_t2,t2,103,0,NA,-0.047168132,-0.8508065
4_t2,t2,95,2,NA,-1.3724874,0.2614027
2_t2,t2,100,0,NA,1.6391401,-0.11962036
3_t2,t2,102,1,NA,0.22915779,0.55959827
3_t3,t3,101,2,NA,-0.8690084,-0.09345226
1_t3,t3,156,0,NA,0.86503434,-0.69664234
2_t3,t3,121,1,NA,0.66720426,0.7051789
3_t4,t4,100,2,NA,-0.86900836,-0.0934529
4_t4,t4,34,-1,NA,-0.57030326,-0.13968213
1_t4,t4,147,0,NA,0.8650355,-0.6966424
2_t4,t4,119,1,NA,0.65718716,0.7608122
