id,phase,size,diac_component,meta,x,y
1_t1,t1,100,0,A,-13.280115,-1.4518555
2_t1,t1,100,1,B,-12.549763,-1.4754559
3_t1,t1,100,2,C,13.462093,1.5247717
4_t1,t1,100,3,D,13.573568,0.80635446
1_t2,t2,101,0,A,-13.793636,-1.4353706
2_t2,t2,99,1,B,-12.035937,-1.4920552
3_t2,t2,101,2,C,13.355619,2.2101223
4_t2,t2,99,3,D,13.68002,0.12113153
2_t3,t3,99,1,B,-11.860685,-1.4977279
1_t3,t3,101,0,A,-13.96894,-1.4297656
3_t3,t3,101,2,C,13.355619,2.2101388
4_t3,t3,99,3,D,13.680307,0.121137396
1_t4,t4,101,0,A,-13.472509,-1.4456192
2_t4,t4,99,1,B,-12.356545,-1.4815378
3_t4,t4,101,2,C,13.462099,1.524781
4_t4,t4,99,3,D,13.57302,0.80634063
