source,target,weight,phase,type,diac_component
1_t1,1_t2,0.8108108108108109,t1,diac,0
2_t1,2_t2,0.8090909090909091,t1,diac,1
3_t1,3_t2,0.8272727272727273,t1,diac,2
4_t1,4_t2,0.8256880733944955,t1,diac,3
1_t2,1_t3,0.8198198198198198,t2,diac,0
2_t2,2_t3,0.8165137614678899,t2,diac,1
3_t2,3_t3,0.8363636363636363,t2,diac,2
4_t2,4_t3,0.8333333333333334,t2,diac,3
2_t3,2_t4,0.8504672897196262,t3,diac,1
1_t3,1_t4,0.8532110091743119,t3,diac,0
3_t3,3_t4,0.8532110091743119,t3,diac,2
4_t3,4_t4,0.8504672897196262,t3,diac,3
