id,phase,size,diac_component,meta,x,y
1_t1,t1,100,0,A,-0.95612085,1.1098372
2_t1,t1,100,0,B,-2.084962,0.12849589
3_t1,t1,100,0,C,1.7878828,-0.65539014
4_t1,t1,100,0,D,0.89759684,-1.9183966
1_t2,t2,161,0,A,-1.0740083,0.10496716
2_t2,t2,134,0,B,0.3000692,0.8099995
3_t2,t2,83,0,C,1.6505378,-1.380648
2_t3,t3,126,0,B,1.1087549,-1.4443365
1_t3,t3,192,0,A,-0.421585,0.5196143
3_t3,t3,63,0,C,-2.939066,1.0299745
1_t4,t4,186,0,A,-0.71632934,-0.3564973
3_t4,t4,73,0,C,-2.5051875,1.3594917
2_t4,t4,123,0,B,1.622888,-0.47205827
