source,target,weight,phase,type,diac_component
1_t1,1_t2,0.17964071856287425,t1,diac,0
1_t1,4_t2,0.031088082901554404,t1,diac,0
2_t1,2_t2,0.19653179190751446,t1,diac,1
3_t1,3_t2,0.19393939393939394,t1,diac,2
4_t1,4_t2,0.21341463414634146,t1,diac,0
1_t2,1_t3,0.20359281437125748,t2,diac,0
3_t2,3_t3,0.2356687898089172,t2,diac,2
4_t2,4_t3,0.17901234567901234,t2,diac,0
2_t2,2_t3,0.18232044198895028,t2,diac,1
3_t3,3_t4,0.19135802469135801,t3,diac,2
2_t3,2_t4,0.19101123595505617,t3,diac,1
1_t3,1_t4,0.18232044198895028,t3,diac,0
1_t3,4_t4,0.026595744680851064,t3,diac,0
4_t3,4_t4,0.1986754966887417,t3,diac,0
