id,phase,size,diac_component,meta,x,y
6_19-06h,19-06h,6,0,MP*1,6.990335,1.1431744
0_19-06h,19-06h,6,1,MP*1,9.373117,1.9206736
2_19-06h,19-06h,3,1,MP*1,6.7859745,1.290766
4_19-06h,19-06h,4,2,MP*1,7.1872296,1.4568799
7_19-06h,19-06h,2,-1,PC*,-4.069033,-5.5013566
8_19-06h,19-06h,2,-1,PC,-9.626955,7.8781385
10_19-06h,19-06h,8,3,PC,-8.28556,8.744481
12_19-06h,19-06h,2,4,PC,-3.9833903,-3.490682
13_19-06h,19-06h,3,5,PC,-10.04252,8.394726
14_19-06h,19-06h,3,6,PC,-9.15818,8.105455
15_19-06h,19-06h,4,1,MP*1,7.5365224,0.2839095
1000_19-06h,19-06h,137,7,mixed,23.375301,6.1885443
0_19-07h,19-07h,10,1,MP*1,9.41939,1.9845296
2_19-07h,19-07h,2,2,MP*1,6.8960695,1.5460793
11_19-07h,19-07h,7,3,PC,-8.526961,8.611101
21_19-07h,19-07h,4,0,MP*1,6.9764557,1.5529417
6_19-07h,19-07h,3,5,PC,-10.0079565,8.306154
9_19-07h,19-07h,8,1,MP*1,7.5842,0.20761581
10_19-07h,19-07h,2,3,PC,-9.086069,8.2071905
15_19-07h,19-07h,3,6,PC,-9.100908,8.178694
16_19-07h,19-07h,2,4,PC,-3.9245923,-3.434076
17_19-07h,19-07h,3,-1,PSI*,-3.972125,-6.132879
18_19-07h,19-07h,2,-1,PSI*,-2.366536,-7.129749
19_19-07h,19-07h,3,-1,PSI*,-2.9471138,-8.706768
20_19-07h,19-07h,2,3,PC,-7.9484167,9.019727
1000_19-07h,19-07h,129,7,mixed,23.397333,6.048275
0_19-08h,19-08h,35,1,MP*1,9.334218,2.1298182
1_19-08h,19-08h,24,8,PC,-8.5764885,8.596948
2_19-08h,19-08h,8,9,PC,-9.483175,7.8192863
3_19-08h,19-08h,21,-1,mixed,-4.422721,-7.411744
4_19-08h,19-08h,12,10,PSI*,-3.978722,-7.664277
6_19-08h,19-08h,13,11,PC*,-5.1103745,-6.3306255
7_19-08h,19-08h,2,12,PSI*,-2.5133505,-6.8341856
1000_19-08h,19-08h,65,7,MP*2,23.79895,1.7405955
0_19-09h,19-09h,9,1,MP*1,7.561767,0.12568928
1_19-09h,19-09h,2,-1,PSI*,-3.8715563,-6.880204
2_19-09h,19-09h,12,1,MP*1,9.323714,1.9521823
3_19-09h,19-09h,4,11,PC*,-5.4792566,-4.822623
4_19-09h,19-09h,4,12,PSI*,-2.6088324,-6.9049587
5_19-09h,19-09h,12,8,PC,-8.683961,8.64284
6_19-09h,19-09h,5,10,PSI*,-2.8617775,-8.606227
7_19-09h,19-09h,3,13,PC,-9.8830185,8.298166
8_19-09h,19-09h,3,-1,PC,-8.390602,8.682549
9_19-09h,19-09h,3,10,PSI*,-4.1518955,-9.55503
10_19-09h,19-09h,6,14,PC*,-4.9425435,-5.7153215
11_19-09h,19-09h,2,9,PC,-9.680806,7.7919784
12_19-09h,19-09h,2,11,PC*,-5.1915035,-5.5217423
13_19-09h,19-09h,2,-1,PSI*,-4.057273,-6.2055054
14_19-09h,19-09h,3,-1,PC*,-4.0277,-3.6104922
16_19-09h,19-09h,2,-1,PC*,-4.319089,-4.927211
17_19-09h,19-09h,2,-1,PC*,-4.8696027,-4.7932367
18_19-09h,19-09h,2,8,PC,-9.327099,8.806961
