source,target,weight,phase,type,diac_component
0_19-06h,4_19-06h,7.0,19-06h,sync,-1
0_19-06h,6_19-06h,14.0,19-06h,sync,-1
1_19-08h,2_19-08h,45.0,19-08h,sync,-1
2_19-08h,6_19-08h,13.0,19-08h,sync,-1
3_19-08h,4_19-08h,13.0,19-08h,sync,-1
0_19-08h,4_19-08h,5.0,19-08h,sync,-1
1_19-08h,6_19-08h,11.0,19-08h,sync,-1
3_19-08h,6_19-08h,21.0,19-08h,sync,-1
2_19-10h,3_19-10h,23.0,19-10h,sync,-1
11_19-10h,8_19-10h,6.0,19-10h,sync,-1
12_19-10h,8_19-10h,7.0,19-10h,sync,-1
1_19-11h,2_19-11h,98.0,19-11h,sync,-1
12_19-11h,4_19-11h,1.0,19-11h,sync,-1
0_19-12h,1_19-12h,21.0,19-12h,sync,-1
1_19-12h,5_19-12h,5.0,19-12h,sync,-1
2_19-12h,7_19-12h,2.0,19-12h,sync,-1
7_19-12h,8_19-12h,10.0,19-12h,sync,-1
3_19-12h,8_19-12h,59.0,19-12h,sync,-1
1_19-14h,4_19-14h,1.0,19-14h,sync,-1
0_19-14h,2_19-14h,2.0,19-14h,sync,-1
2_19-14h,5_19-14h,6.0,19-14h,sync,-1
2_19-14h,8_19-14h,5.0,19-14h,sync,-1
3_19-14h,4_19-14h,1.0,19-14h,sync,-1
5_19-14h,8_19-14h,6.0,19-14h,sync,-1
10_19-15h,11_19-15h,4.0,19-15h,sync,-1
1_19-16h,3_19-16h,1.0,19-16h,sync,-1
4_19-16h,5_19-16h,1.0,19-16h,sync,-1
12_19-16h,3_19-16h,1.0,19-16h,sync,-1
7_20-05h,8_20-05h,15.0,20-05h,sync,-1
1_20-06h,6_20-06h,1.0,20-06h,sync,-1
2_20-06h,3_20-06h,6.0,20-06h,sync,-1
3_20-06h,5_20-06h,15.0,20-06h,sync,-1
3_20-08h,9_20-08h,9.0,20-08h,sync,-1
3_20-08h,5_20-08h,3.0,20-08h,sync,-1
2_20-08h,4_20-08h,78.0,20-08h,sync,-1
11_20-08h,7_20-08h,17.0,20-08h,sync,-1
10_20-09h,13_20-09h,3.0,20-09h,sync,-1
13_20-09h,17_20-09h,1.0,20-09h,sync,-1
10_20-09h,17_20-09h,1.0,20-09h,sync,-1
2_20-10h,4_20-10h,1.0,20-10h,sync,-1
0_20-10h,3_20-10h,8.0,20-10h,sync,-1
12_20-10h,3_20-10h,10.0,20-10h,sync,-1
0_20-10h,12_20-10h,5.0,20-10h,sync,-1
12_20-10h,1_20-10h,4.0,20-10h,sync,-1
11_20-11h,14_20-11h,4.0,20-11h,sync,-1
14_20-11h,16_20-11h,9.0,20-11h,sync,-1
11_20-11h,16_20-11h,3.0,20-11h,sync,-1
0_20-12h,8_20-12h,109.0,20-12h,sync,-1
