id,x,y,period_str,period_int
0_t2,-12.061789,-0.11952421,t2,2
9_t2,-12.5789995,-0.018491743,t2,2
8_t5,6.284385,-0.049243614,t5,5
0_t4,2.9772162,-0.075411715,t4,4
5_t2,-14.361473,-0.09166897,t2,2
9_t5,10.031871,0.29240587,t5,5
4_t2,-13.391888,-0.24600437,t2,2
7_t3,-9.603087,-0.06255671,t3,3
5_t4,3.8904839,-0.040815342,t4,4
4_t7,13.48472,-0.48394376,t7,7
3_t0,-14.329542,0.065655686,t0,0
6_t4,3.4748647,-0.0028974232,t4,4
8_t2,-10.059942,0.3003654,t2,2
7_t7,13.676659,-0.48075816,t7,7
9_t4,3.6135032,-0.089642674,t4,4
3_t1,-13.4428,-0.21160087,t1,1
1_t3,-8.751741,-0.12046587,t3,3
4_t3,-8.382139,-0.35328776,t3,3
4_t6,10.61537,0.123132125,t6,6
1_t4,3.4041343,-0.064864464,t4,4
1_t5,6.4759674,-0.1644449,t5,5
0_t7,13.650284,-0.53388304,t7,7
3_t4,4.4084697,0.17326835,t4,4
0_t1,-14.784894,-0.116171844,t1,1
6_t3,-8.084674,-0.59394306,t3,3
3_t5,8.399603,-0.029573327,t5,5
2_t5,5.7246275,0.031501267,t5,5
8_t4,5.6036077,-0.30427238,t4,4
3_t3,-9.258529,0.44351974,t3,3
2_t6,8.648012,0.061680157,t6,6
0_t3,2.5745018,-0.060561243,t3,3
1_t0,-15.250044,-0.05266678,t0,0
10_t3,-8.895103,-0.25487873,t3,3
0_t5,8.073119,0.042161725,t5,5
0_t6,9.184664,0.1650151,t6,6
1_t6,10.026053,0.46284294,t6,6
2_t1,-13.6165695,-0.0979552,t1,1
2_t0,-15.162944,0.17772539,t0,0
9_t3,-8.611636,0.1017239,t3,3
7_t1,-14.210522,0.11723718,t1,1
7_t0,-15.582696,-0.32327983,t0,0
0_t0,-14.659396,0.09174536,t0,0
5_t7,13.2998495,-0.5061521,t7,7
4_t1,-11.757889,0.010466537,t1,1
6_t2,-9.10759,0.07609925,t2,2
2_t3,-8.199998,0.19071655,t3,3
1_t1,-15.121774,-0.6526073,t1,1
1_t2,-12.704026,-0.45511538,t2,2
5_t5,4.169965,-0.08861552,t5,5
9_t1,-12.682341,-0.05614766,t1,1
3_t6,10.559468,0.44213897,t6,6
6_t0,-14.473352,-0.6320461,t0,0
4_t5,5.5191154,0.1399671,t5,5
8_t1,-13.942774,-0.13283682,t1,1
4_t0,-14.326491,-0.7341597,t0,0
5_t3,-9.076851,-0.34264424,t3,3
9_t0,-14.950753,0.45681348,t0,0
5_t0,-14.061926,-0.25964695,t0,0
2_t2,-11.23505,-0.41744056,t2,2
7_t5,6.846874,0.50277174,t5,5
6_t5,6.297411,0.45351434,t5,5
9_t6,9.526436,0.43672967,t6,6
2_t8,13.498443,-0.5541874,t8,8
6_t6,9.480816,-0.63330597,t6,6
5_t6,10.371805,-0.6524063,t6,6
1_t8,13.306842,-0.50754136,t8,8
11_t1,-12.463609,-0.20288773,t1,1
4_t8,13.42718,-0.50092274,t8,8
8_t6,12.560571,-0.24275534,t6,6
10_t4,3.170969,-0.10604917,t4,4
2_t4,3.92816,0.69241565,t4,4
3_t2,-8.967051,0.022918668,t2,2
11_t3,-9.420602,0.52796805,t3,3
7_t2,-8.656573,-0.22004043,t2,2
0_t8,13.510474,-0.51300395,t8,8
10_t1,-13.492945,-0.28298983,t1,1
8_t0,-13.663257,0.54357845,t0,0
5_t1,-12.503932,-0.03344473,t1,1
6_t1,-14.974333,0.40229627,t1,1
4_t4,3.4039547,-0.016725365,t4,4
11_t6,8.087214,0.08179476,t6,6
7_t6,4.882491,-0.21503802,t6,6
7_t4,3.4676204,0.07020541,t4,4
10_t6,7.0391726,-0.7037065,t6,6
8_t3,2.9943366,-0.04861068,t3,3
6_t7,10.571071,0.18918231,t7,7
1_t7,9.421007,0.71317464,t7,7
8_t7,7.197791,0.19038606,t7,7
2_t7,8.12857,-0.39718068,t7,7
3_t7,5.5385594,0.5929877,t7,7
3_t9,10.886542,-0.1062675,t9,9
5_t9,10.680708,-0.5912131,t9,9
2_t9,11.60599,-0.39213783,t9,9
0_t9,11.948389,-0.63963085,t9,9
1_t9,10.794808,-0.59683937,t9,9
3_t10,10.5288315,-0.64629215,t10,10
1_t10,10.683366,-0.8846269,t10,10
4_t10,10.543353,-0.717463,t10,10
3_t8,6.078771,-0.010471973,t8,8
0_t10,8.829875,0.0031448032,t10,10
2_t10,4.3948827,0.55489546,t10,10
5_t10,3.7485855,0.5413984,t10,10
