id,phase,size,sync_component,diac_component,lineage_size,meta,label,x,y,z
366_1607295600,1607295600,197,0,4,82.77184905660377,1.425395376766239,307,-7.1661806,-0.7721226,-7.372558
234_1624226400,1624226400,291,-1,6,217.96875,0.18821681404089852,245,8.04237,-0.73462003,7.7929783
118_1623621600,1623621600,279,-1,6,111.31914893617021,0.1813653357386316,245,7.6883407,-0.6270559,7.4320626
302_1609110000,1609110000,167,0,4,138.64221311137325,1.4172207112718151,307,-7.402929,-1.6751901,-7.542993
123_1601848800,1601848800,299,-1,1,207.47631578947366,0.3180413504606035,1921,-5.6179805,1.8321291,-6.017885
44_1608505200,1608505200,219,0,4,108.12914937759335,1.2515761411568174,307,-7.3775535,-1.1868557,-7.5532055
3_1627250400,1627250400,214,-1,10,56.26430379746836,0.6119207377259607,245,8.918311,-1.0349342,8.688443
100_1603058400,1603058400,193,0,2,92.95025113609185,1.0299165809824267,na,-5.3792167,1.1855428,-5.732723
172_1618783200,1618783200,229,-1,6,113.6896551724138,0.33645876100105937,245,4.887172,-0.2890916,4.613732
227_1624831200,1624831200,123,0,8,89.04416403785488,1.2048150864934315,245,8.842148,-1.2091442,8.625154
0_1604876400,1604876400,310,-1,3,105.08893274514357,0.11467074767284213,771,-4.144843,1.0075434,-4.4886723
271_1605481200,1605481200,337,0,3,171.08847658715135,0.00251684818534532,771,-4.602179,0.54639524,-4.9112544
0_1625436000,1625436000,124,-1,8,83.23315825530943,1.2991489243626404,245,8.2953005,-1.3250285,8.088183
378_1609714800,1609714800,167,-1,4,95.01807569196008,1.3379484146758922,1458,-7.4898977,-1.4732007,-7.644424
181_1600639200,1600639200,329,-1,1,136.39838056680162,0.39698260580293915,245,-5.462785,2.318396,-5.898471
73_1607900400,1607900400,145,-1,4,128.926264700392,1.4245025266689861,307,-6.672061,-1.6296102,-6.817376
17_1612738800,1612738800,254,-1,3,195.38328530259366,0.14675183991390792,567,0.8589775,0.02542973,0.5733298
179_1623016800,1623016800,218,-1,6,88.72605042016806,0.11119627487957044,245,7.041342,-0.5054018,6.7779293
275_1601244000,1601244000,296,-1,1,178.73598293753332,0.2984497021772051,146,-6.00134,1.8893387,-6.4043913
404_1610924400,1610924400,305,0,3,195.76795416378542,-0.7071054033311066,50,-0.9633703,0.29027092,-1.2634544
125_1612134000,1612134000,311,-1,3,180.4506224545796,-0.05877957350322425,1578,-0.009893451,0.16017696,-0.30304065
162_1622412000,1622412000,113,0,7,47.23141654978962,1.2537009470719929,720,7.005502,-0.87559515,6.7691116
0_1607295600,1607295600,347,0,3,169.82336498190156,-0.6683452469231819,236,-2.1788847,0.4129441,-2.4846723
0_1608505200,1608505200,346,0,3,291.59611329824094,-0.7092929567001204,na,-2.1698475,0.44993103,-2.478349
0_1610319600,1610319600,313,0,3,151.22808126410837,-0.5436504858700054,50,-0.9926572,0.27661297,-1.2916704
268_1619992800,1619992800,271,0,6,157.68816606431287,0.056892606310950444,371,5.577211,-0.5626185,5.3218384
137_1614553200,1614553200,380,0,5,211.20541760722347,0.4918428186843209,567,1.282866,0.043221578,0.99480146
380_1610319600,1610319600,127,0,4,116.2754046997389,1.4983481336103945,1921,-7.146204,-1.3515157,-7.3104916
96_1617573600,1617573600,188,-1,6,136.93333333333334,0.1259597330874066,307,2.715078,0.06261271,2.4218094
152_1606690800,1606690800,347,-1,3,148.26450080160103,-0.3976264094917894,685,-2.4653616,0.49012107,-2.7760038
124_1606690800,1606690800,113,-1,4,53.96741227038707,1.3673560066199852,1921,-6.6954813,-1.2965541,-6.86496
246_1600034400,1600034400,208,0,1,151.05795964731973,1.2663620968372733,245,-5.615134,1.9334657,-6.0224175
176_1616968800,1616968800,195,-1,6,98.98685371858596,0.21846122128337953,135,2.85197,-0.056217354,2.5669818
271_1607900400,1607900400,390,-1,3,227.00978882226104,-0.5622447171850948,236,-2.4298093,0.4984559,-2.741152
56_1611529200,1611529200,295,-1,3,219.18107655836005,-0.5922715600024063,50,-0.44635278,0.23043297,-0.74345416
191_1615158000,1615158000,360,0,5,281.54677629476686,0.5658277642388787,na,1.0365819,-0.05393441,0.7562366
32_1613948400,1613948400,339,-1,5,108.41766606256402,0.33992583738724486,567,0.77157795,0.09957627,0.48076862
0_1609110000,1609110000,325,0,3,205.56415343915342,-0.6738735186120174,85,-1.7853144,0.39430514,-2.0907886
173_1621202400,1621202400,272,0,6,153.54407294832828,-0.22492838408718085,2033,5.8299913,0.06232888,5.5284925
0_1620597600,1620597600,244,-1,6,137.79885057471265,-0.3934511599963061,2033,5.840537,-0.25536665,5.5621185
0_1626645600,1626645600,104,0,8,51.49444444444444,1.12942378723041,720,8.644363,-0.7785703,8.396574
0_1619388000,1619388000,221,0,6,95.05660377358491,-0.14185788191174326,na,5.6811247,0.33136076,5.3604507
0_1602453600,1602453600,215,0,1,136.37110481586402,-0.17044952178897488,14,-5.2044153,1.7021174,-5.5959597
157_1618178400,1618178400,189,-1,6,85.65250965250965,0.16365146082048174,307,3.9442942,-0.27095693,3.672032
131_1627855200,1627855200,143,0,10,105.65690376569037,1.1893695416148609,245,8.706118,-1.1436689,8.484721
0_1610924400,1610924400,135,0,4,84.52323103154305,1.2411493255677075,1578,-7.893015,-1.8304423,-8.020489
41_1603666800,1603666800,144,-1,2,103.82653111180014,1.2286166227695545,567,-5.584023,0.6459616,-5.89774
21_1604271600,1604271600,113,0,2,87.31806941623245,1.3310379954431453,567,-5.58945,0.3909082,-5.8846
16_1600639200,1600639200,6,-1,-1,3.961904761904762,-0.6317588214653317,na,5.0046864,-1.3604608,4.808863
203_1604271600,1604271600,199,0,3,107.25128177739799,-0.147097098542083,771,-5.099306,1.8901297,-5.504804
97_1601244000,1601244000,12,-1,-1,9.202901888530631,-0.16620259086207875,na,5.1805534,-1.9051938,5.0238867
0_1599429600,1599429600,225,-1,1,157.24330426462316,1.3562008961231655,245,-5.6241527,1.9456584,-6.0322995
2_1611529200,1611529200,101,-1,4,82.12403074977537,1.5252533082638373,1921,-7.0906777,-1.432395,-7.2492294
50_1602453600,1602453600,120,0,2,71.65384615384616,1.4301164880786141,567,-5.0574565,1.6626332,-5.446518
154_1620597600,1620597600,104,-1,-1,59.05434493754983,1.4660484756280288,720,5.4978447,-0.71361375,5.253665
209_1609714800,1609714800,260,-1,3,145.40851244343892,-0.7852948188891131,85,-1.8348129,0.40252072,-2.1407535
157_1625436000,1625436000,154,-1,6,96.77286147874382,-0.5602988587989465,211,8.939548,-0.36066353,8.660579
3_1615762800,1615762800,312,0,5,192.16709728303732,0.176606446959218,135,1.2980586,-0.07017865,1.0182023
168_1624831200,1624831200,146,0,6,130.08278145695365,-0.6429093597817324,966,8.565299,-0.63738155,8.307449
1_1621807200,1621807200,75,-1,7,48.334443211246764,1.3225108274679689,720,6.539726,-0.7543404,6.2957487
66_1628460000,1628460000,193,-1,10,112.62448626433053,0.6350938165491676,245,8.83191,-0.943808,8.595644
23_1603666800,1603666800,174,-1,3,87.98709677419355,-0.2555916918366399,307,-4.88717,0.91698235,-5.2224455
103_1606086000,1606086000,292,-1,3,222.5552547716136,-0.0853075862213332,771,-3.278861,0.61840796,-3.5966797
137_1622412000,1622412000,136,0,6,91.86410419650909,-0.5841908629323825,1757,6.539972,-0.043024957,6.244255
21_1626040800,1626040800,93,0,8,70.25826641473783,1.049272513181001,245,8.797894,-0.92976993,8.560696
0_1621807200,1621807200,154,-1,6,114.2130920382644,-0.5307400824280658,1757,6.3454127,-0.07167447,6.0522957
5_1616367600,1616367600,219,0,5,151.45340307456783,0.501531953875532,na,1.5810137,-0.12341647,1.3042803
242_1613343600,1613343600,209,0,5,89.86549707602339,0.6370809783389462,na,0.9617795,0.053221807,0.6738381
191_1603058400,1603058400,150,0,-1,85.6001923413184,-0.24136977190714926,567,-5.334956,1.9509789,-5.744256
